Brand,Model,Year,Price,KM_Driven,Fuel_Type,Transmission,Condition,Location,Seller_Type,Phone,Days_Listed,Views,Body_Type
Renault,Clio,2021,112530,71558,Gasoline,Manual,Very Good,Marrakech,Private,+212677114454,89,305,Hatchback
Toyota,Corolla,2021,147055,44242,Gasoline,Manual,Good,Fes,Dealer,+212658991690,114,617,Hatchback
Dacia,Lodgy,2020,106056,65342,Gasoline,Manual,Very Good,Casablanca,Private,+212780367618,3,97,Hatchback
Citroen,C4,2021,147030,54593,Diesel,Manual,Good,Rabat,Private,+212669188405,41,331,Hatchback
Peugeot,2008,2019,120781,93223,Diesel,Manual,Very Good,Marrakech,Dealer,+212654465542,27,539,Hatchback
Renault,Captur,2022,173457,33424,Diesel,Manual,Good,Agadir,Dealer,+212673273446,2,318,Sedan
Kia,Sorento,2023,345875,39777,Diesel,Manual,Good,Rabat,Private,+212728402497,20,307,Hatchback
Renault,Kadjar,2018,133845,135731,Gasoline,Manual,Very Good,Rabat,Private,+212785691015,171,276,Sedan
Renault,Captur,2020,134429,93442,Diesel,Manual,Very Good,Tetouan,Dealer,+212625968231,23,179,Sedan
Renault,Clio,2019,90524,88569,Gasoline,Automatic,Excellent,Tangier,Private,+212746210236,114,276,SUV
Toyota,Yaris,2018,70561,139178,Hybrid,Manual,Good,Rabat,Private,+212768888520,156,509,Hatchback
Volkswagen,Tiguan,2024,360639,23597,Diesel,Manual,Good,Kenitra,Dealer,+212664195341,18,721,SUV
Renault,Kadjar,2020,133621,125061,Diesel,Automatic,Fair,Tangier,Private,+212717891136,106,101,Sedan
Dacia,Duster,2022,137452,35742,Gasoline,Automatic,Good,Oujda,Dealer,+212720791311,44,287,Hatchback
Peugeot,5008,2019,213081,136202,Diesel,Automatic,Very Good,Casablanca,Private,+212787116212,33,333,Sedan
Dacia,Sandero,2021,102934,73148,Gasoline,Manual,Very Good,Tangier,Private,+212757807480,161,405,Sedan
Hyundai,Tucson,2019,155289,115436,Gasoline,Manual,Good,Marrakech,Dealer,+212657059976,45,128,Sedan
Nissan,Juke,2018,112391,157320,Gasoline,Automatic,Very Good,Casablanca,Private,+212617336155,142,145,Hatchback
Nissan,Qashqai,2018,134204,128654,Diesel,Automatic,Good,Meknes,Private,+212668940272,4,579,Hatchback
Dacia,Lodgy,2022,106392,49538,Diesel,Manual,Fair,Casablanca,Private,+212713057268,52,574,Hatchback
Dacia,Sandero,2020,85237,82083,Gasoline,Manual,Very Good,Casablanca,Private,+212712961173,55,573,Sedan
Citroen,C4,2023,182520,36914,Diesel,Manual,Good,Casablanca,Dealer,+212677325147,65,706,SUV
Peugeot,2008,2022,185535,64441,Diesel,Automatic,Very Good,Meknes,Private,+212770579679,38,454,Sedan
Ford,Focus,2019,104616,120524,Gasoline,Manual,Good,Tangier,Private,+212783728778,6,514,Hatchback
Ford,Fiesta,2021,94719,87345,Gasoline,Automatic,Good,Rabat,Private,+212677624914,163,395,Hatchback
Nissan,Qashqai,2023,271051,25994,Diesel,Automatic,Good,Tangier,Private,+212760280591,121,253,Van
Dacia,Duster,2023,165415,28437,Gasoline,Automatic,Good,Marrakech,Private,+212742401089,145,397,SUV
Kia,Rio,2019,80923,71939,Gasoline,Manual,Good,Casablanca,Private,+212675428612,165,200,Pickup
Renault,Megane,2021,107095,81013,Diesel,Manual,Fair,Tangier,Dealer,+212755765267,167,306,SUV
Dacia,Lodgy,2021,117481,46042,Diesel,Automatic,Very Good,Casablanca,Private,+212621731562,88,583,Hatchback
Volkswagen,Polo,2019,102791,94256,Diesel,Manual,Excellent,Marrakech,Private,+212748847152,28,223,Pickup
Renault,Clio,2024,169829,18007,Diesel,Manual,Very Good,Casablanca,Dealer,+212634733347,94,537,Hatchback
Hyundai,i20,2021,109702,94860,Gasoline,Automatic,Very Good,Kenitra,Private,+212656549546,65,211,SUV
Dacia,Duster,2023,164004,29026,Gasoline,Manual,Good,Marrakech,Dealer,+212775751348,107,187,Hatchback
Renault,Captur,2019,117353,79551,Gasoline,Automatic,Good,Casablanca,Dealer,+212620413049,145,549,Sedan
Ford,Fiesta,2020,85138,103915,Gasoline,Manual,Good,Agadir,Dealer,+212780706782,103,250,Hatchback
Volkswagen,Golf,2022,165030,37310,Gasoline,Manual,Good,Rabat,Private,+212683641796,160,427,Hatchback
Toyota,Corolla,2021,150108,77187,Hybrid,Automatic,Good,Tangier,Private,+212679832225,128,307,Hatchback
Renault,Captur,2023,227509,31951,Gasoline,Manual,Excellent,Casablanca,Private,+212620187406,42,430,SUV
Dacia,Dokker,2019,75061,126625,Diesel,Manual,Good,Marrakech,Dealer,+212679104459,16,447,Hatchback
Dacia,Dokker,2018,70323,128551,Gasoline,Manual,Good,Casablanca,Private,+212783467658,169,101,Sedan
Hyundai,i20,2023,152085,35198,Gasoline,Manual,Very Good,Casablanca,Private,+212723565643,133,516,Pickup
Dacia,Sandero,2019,76304,98280,Gasoline,Manual,Very Good,Casablanca,Private,+212619259953,77,96,Van
Nissan,Juke,2019,102143,82543,Gasoline,Automatic,Fair,Rabat,Private,+212783135960,29,525,SUV
Dacia,Duster,2018,76333,79017,Gasoline,Automatic,Fair,Oujda,Dealer,+212640352684,79,94,Hatchback
Kia,Picanto,2020,65007,101125,Gasoline,Automatic,Good,Casablanca,Private,+212719065237,105,500,Sedan
Renault,Captur,2021,161596,55769,Gasoline,Manual,Very Good,Agadir,Private,+212697318478,97,217,SUV
Peugeot,2008,2019,118825,94882,Diesel,Automatic,Good,Marrakech,Private,+212751580856,1,326,Hatchback
Volkswagen,Golf,2018,111839,139294,Gasoline,Manual,Very Good,Casablanca,Private,+212698872025,98,514,Sedan
Dacia,Logan,2023,128177,29852,Gasoline,Manual,Good,Tangier,Private,+212771168918,87,955,Pickup
Peugeot,3008,2020,211500,59617,Diesel,Manual,Very Good,Tangier,Private,+212731858406,41,329,Sedan
Nissan,Patrol,2019,401782,142363,Diesel,Manual,Very Good,Marrakech,Private,+212763362964,45,461,Coupe
Toyota,Yaris,2024,148032,23681,Hybrid,Automatic,Good,Fes,Private,+212691859107,160,261,Sedan
Renault,Clio,2024,188826,19120,Diesel,Manual,Excellent,Meknes,Private,+212748346237,31,123,Coupe
Nissan,Qashqai,2019,140108,77726,Gasoline,Manual,Fair,Casablanca,Dealer,+212674220192,174,547,Hatchback
Toyota,Yaris,2021,90034,94829,Hybrid,Manual,Good,Rabat,Private,+212690306702,22,395,Pickup
Peugeot,3008,2018,147907,125860,Gasoline,Automatic,Good,Kenitra,Private,+212670154554,88,67,Van
Citroen,C4,2021,161788,84053,Gasoline,Automatic,Excellent,Casablanca,Dealer,+212787752462,14,213,Pickup
Hyundai,Tucson,2018,174932,132571,Diesel,Manual,Excellent,Casablanca,Private,+212652891079,107,382,SUV
Toyota,Land Cruiser,2018,392177,129719,Diesel,Manual,Good,Kenitra,Private,+212744835545,129,498,Pickup
Renault,Clio,2024,150437,21392,Gasoline,Manual,Good,Rabat,Private,+212723983486,81,607,SUV
Hyundai,i20,2020,94280,63015,Gasoline,Automatic,Good,Casablanca,Private,+212773031763,135,293,Pickup
Nissan,Juke,2019,142494,132780,Gasoline,Automatic,Very Good,Kenitra,Private,+212676914683,41,154,Sedan
Dacia,Duster,2020,106846,107037,Diesel,Manual,Very Good,Kenitra,Private,+212618822367,21,566,Van
Hyundai,Tucson,2022,265587,60854,Hybrid,Automatic,Very Good,Casablanca,Dealer,+212767583505,107,319,Hatchback
Toyota,Land Cruiser,2020,545171,87429,Diesel,Manual,Very Good,Fes,Private,+212693092612,172,180,Hatchback
Renault,Kadjar,2020,168215,66755,Gasoline,Manual,Good,Meknes,Dealer,+212654043371,143,135,Van
Dacia,Logan,2020,78462,90513,Gasoline,Manual,Good,Agadir,Private,+212669727038,61,280,Sedan
Toyota,Hilux,2018,215844,112266,Diesel,Manual,Very Good,Agadir,Dealer,+212751472778,143,472,Van
Renault,Clio,2022,115227,65824,Gasoline,Automatic,Good,Casablanca,Private,+212782905851,43,622,Sedan
Volkswagen,Golf,2023,197654,35244,Gasoline,Automatic,Good,Casablanca,Private,+212754783816,62,553,Coupe
Dacia,Duster,2021,134389,43780,Diesel,Manual,Very Good,Oujda,Private,+212650953269,28,538,Van
Hyundai,Tucson,2023,222490,31991,Gasoline,Manual,Fair,Tangier,Private,+212752688896,93,592,SUV
Renault,Megane,2022,162726,63172,Diesel,Automatic,Good,Kenitra,Private,+212782473047,89,362,Pickup
Peugeot,308,2020,121731,107888,Diesel,Manual,Good,Agadir,Private,+212741352211,138,312,SUV
Dacia,Duster,2020,113312,95847,Gasoline,Manual,Very Good,Kenitra,Private,+212724129929,33,384,SUV
Dacia,Lodgy,2023,182469,26389,Gasoline,Automatic,Excellent,Casablanca,Private,+212631468522,97,525,Sedan
Dacia,Logan,2024,173848,20416,Gasoline,Manual,Excellent,Fes,Private,+212732905951,17,345,Hatchback
Renault,Captur,2019,129481,73927,Gasoline,Manual,Very Good,Kenitra,Private,+212658129295,3,570,SUV
Toyota,Yaris,2019,77144,122315,Gasoline,Manual,Good,Marrakech,Private,+212798455019,56,471,SUV
Dacia,Duster,2024,197945,14443,Gasoline,Manual,Very Good,Tangier,Private,+212641947598,125,711,SUV
Volkswagen,Golf,2023,201064,28255,Diesel,Manual,Good,Kenitra,Dealer,+212641342914,138,91,Sedan
Volkswagen,Passat,2018,160909,118831,Gasoline,Manual,Good,Casablanca,Dealer,+212675613203,119,203,Van
Renault,Clio,2018,80428,101042,Gasoline,Manual,Excellent,Marrakech,Dealer,+212620855810,146,605,SUV
Renault,Clio,2024,120922,12850,Diesel,Manual,Fair,Marrakech,Dealer,+212713696830,66,729,Hatchback
Kia,Picanto,2023,105672,39172,Gasoline,Manual,Good,Marrakech,Dealer,+212733078314,161,578,SUV
Hyundai,i20,2020,90620,80516,Gasoline,Manual,Very Good,Casablanca,Private,+212798594148,61,501,Pickup
Hyundai,Tucson,2021,192212,72099,Gasoline,Automatic,Fair,Marrakech,Private,+212782338156,8,483,SUV
Toyota,Corolla,2018,111767,102181,Gasoline,Manual,Very Good,Agadir,Private,+212715477340,81,444,SUV
Hyundai,Accent,2023,203092,27195,Gasoline,Manual,Excellent,Marrakech,Dealer,+212618747350,121,726,Hatchback
Hyundai,Tucson,2018,185079,146118,Diesel,Automatic,Excellent,Rabat,Private,+212696700835,22,164,Hatchback
Peugeot,2008,2022,174693,57299,Gasoline,Automatic,Good,Rabat,Private,+212650110542,16,115,Hatchback
Dacia,Sandero,2021,85181,86277,Gasoline,Manual,Good,Rabat,Private,+212692344627,71,336,SUV
Dacia,Logan,2022,90261,53548,Gasoline,Automatic,Fair,Rabat,Private,+212653489298,88,635,SUV
Renault,Captur,2019,115918,118421,Gasoline,Manual,Very Good,Oujda,Dealer,+212723973569,100,83,Hatchback
Renault,Clio,2019,60070,106827,Gasoline,Automatic,Fair,Casablanca,Dealer,+212759843486,5,500,Sedan
Peugeot,308,2018,122024,95485,Diesel,Manual,Excellent,Casablanca,Private,+212661406050,137,322,Hatchback
Volkswagen,Tiguan,2021,259337,90954,Diesel,Automatic,Very Good,Marrakech,Private,+212649879801,88,159,SUV
Renault,Clio,2024,123324,19760,Diesel,Manual,Fair,Tetouan,Private,+212738281775,139,793,SUV
Volkswagen,Passat,2022,299936,44394,Diesel,Manual,Very Good,Meknes,Private,+212687073233,148,185,Sedan
Kia,Sorento,2018,188135,96416,Gasoline,Automatic,Good,Kenitra,Private,+212747143654,166,479,Sedan
Dacia,Sandero,2019,72063,87160,Gasoline,Manual,Very Good,Rabat,Private,+212711458049,78,156,Sedan
Renault,Captur,2022,177879,35926,Diesel,Manual,Very Good,Marrakech,Private,+212741512225,76,246,Sedan
Volkswagen,Tiguan,2018,197897,79273,Diesel,Manual,Good,Casablanca,Private,+212626666240,138,242,Pickup
Ford,Kuga,2019,168108,89061,Hybrid,Manual,Good,Rabat,Private,+212778175676,26,437,Hatchback
Toyota,RAV4,2021,266093,53806,Gasoline,Manual,Good,Tangier,Private,+212779638039,169,415,Hatchback
Dacia,Dokker,2019,76069,95693,Diesel,Manual,Good,Rabat,Private,+212677146894,42,495,Hatchback
Peugeot,2008,2023,192348,38727,Diesel,Manual,Good,Tangier,Dealer,+212621322336,7,745,Sedan
Dacia,Dokker,2018,77420,147607,Diesel,Automatic,Very Good,Marrakech,Dealer,+212786257817,28,117,Sedan
Renault,Clio,2018,83445,97449,Diesel,Manual,Excellent,Tangier,Private,+212677389393,126,243,Hatchback
Dacia,Logan,2022,88745,40923,Gasoline,Manual,Fair,Kenitra,Dealer,+212622357032,12,280,Sedan
Citroen,C3,2021,123281,53359,Gasoline,Automatic,Very Good,Tetouan,Private,+212785531499,27,66,Sedan
Dacia,Dokker,2021,86699,71632,Gasoline,Manual,Fair,Rabat,Private,+212646743343,124,66,Hatchback
Renault,Clio,2019,76146,95361,Gasoline,Manual,Good,Rabat,Private,+212713076793,79,377,Pickup
Dacia,Logan,2018,68647,77931,Gasoline,Manual,Good,Fes,Private,+212732177549,47,397,Hatchback
Hyundai,Tucson,2021,216513,68191,Hybrid,Automatic,Good,Meknes,Private,+212654597339,128,141,Sedan
Dacia,Duster,2022,142413,52662,Diesel,Manual,Good,Fes,Private,+212662892797,151,87,Sedan
Dacia,Logan,2023,140468,26505,Gasoline,Manual,Very Good,Rabat,Dealer,+212727441131,108,452,SUV
Dacia,Duster,2020,119257,94209,Diesel,Automatic,Excellent,Marrakech,Dealer,+212615747667,108,84,Hatchback
Peugeot,308,2018,102415,101410,Diesel,Manual,Very Good,Tangier,Dealer,+212772279456,22,330,Hatchback
Ford,Kuga,2024,364687,14978,Gasoline,Manual,Very Good,Casablanca,Dealer,+212755842474,41,729,Hatchback
Toyota,Hilux,2019,211981,118513,Diesel,Automatic,Good,Rabat,Private,+212644992878,118,227,Hatchback
Ford,Focus,2018,90080,113025,Gasoline,Automatic,Good,Tangier,Private,+212686827581,21,283,Sedan
Dacia,Duster,2018,93919,145366,Gasoline,Automatic,Very Good,Kenitra,Dealer,+212730427766,53,338,Van
Nissan,Qashqai,2019,162768,105269,Gasoline,Manual,Very Good,Casablanca,Dealer,+212622120051,42,500,Pickup
Volkswagen,Golf,2018,100044,93288,Diesel,Manual,Good,Rabat,Dealer,+212628886600,82,587,Hatchback
Toyota,Yaris,2023,160254,36556,Hybrid,Manual,Excellent,Tetouan,Dealer,+212622494034,39,142,Sedan
Peugeot,308,2019,122768,124076,Gasoline,Manual,Very Good,Tangier,Private,+212747129467,24,144,Hatchback
Volkswagen,Golf,2023,218995,33508,Gasoline,Automatic,Very Good,Casablanca,Private,+212730088659,6,424,Hatchback
Dacia,Logan,2024,144507,16059,Gasoline,Manual,Good,Meknes,Dealer,+212632358188,84,325,SUV
Toyota,Yaris,2023,146418,29519,Gasoline,Manual,Very Good,Agadir,Private,+212625229935,110,742,Pickup
Toyota,RAV4,2022,300497,66029,Hybrid,Automatic,Good,Meknes,Dealer,+212712805918,27,352,Pickup
Citroen,C5 Aircross,2021,221798,58821,Diesel,Manual,Good,Casablanca,Dealer,+212746345196,146,78,Van
Dacia,Duster,2022,148128,57174,Gasoline,Automatic,Very Good,Rabat,Private,+212656900929,65,425,Sedan
Citroen,C4,2020,130138,74926,Diesel,Manual,Good,Oujda,Private,+212698267366,17,396,Hatchback
Dacia,Lodgy,2018,69441,165058,Diesel,Manual,Very Good,Fes,Private,+212733128880,106,286,SUV
Peugeot,2008,2021,160549,68530,Gasoline,Automatic,Good,Oujda,Private,+212713294261,79,79,Sedan
Dacia,Duster,2023,187888,31061,Diesel,Manual,Excellent,Rabat,Dealer,+212668342895,59,565,SUV
Dacia,Lodgy,2018,80562,103512,Diesel,Manual,Very Good,Rabat,Private,+212640789903,137,304,Hatchback
Volkswagen,Polo,2022,136900,61234,Diesel,Manual,Very Good,Meknes,Private,+212653290005,116,399,Sedan
Nissan,Micra,2019,69604,81399,Gasoline,Manual,Good,Casablanca,Private,+212677195450,164,362,Hatchback
Peugeot,208,2024,184955,16299,Gasoline,Automatic,Very Good,Rabat,Private,+212653894850,62,250,Hatchback
Ford,Focus,2021,103908,88210,Gasoline,Manual,Fair,Rabat,Dealer,+212688943026,13,631,SUV
Dacia,Duster,2019,87562,91075,Diesel,Manual,Good,Casablanca,Private,+212623294686,88,179,SUV
Dacia,Dokker,2019,86717,127960,Diesel,Automatic,Very Good,Tetouan,Dealer,+212782658253,166,594,Van
Toyota,RAV4,2024,415007,14198,Hybrid,Manual,Very Good,Tetouan,Dealer,+212789154472,14,411,Pickup
Citroen,C4,2018,102512,145861,Gasoline,Automatic,Very Good,Rabat,Private,+212728720518,18,414,Sedan
Nissan,Qashqai,2020,179748,127900,Gasoline,Automatic,Very Good,Casablanca,Dealer,+212739161157,46,432,Hatchback
Kia,Sorento,2019,235910,99874,Gasoline,Automatic,Very Good,Casablanca,Private,+212742730634,35,220,SUV
Peugeot,3008,2021,265277,57006,Diesel,Manual,Excellent,Casablanca,Private,+212616948486,87,257,SUV
Citroen,C5 Aircross,2024,323518,13086,Hybrid,Manual,Good,Fes,Private,+212649902752,100,622,SUV
Renault,Talisman,2020,184295,84391,Diesel,Manual,Good,Fes,Dealer,+212780668924,75,310,Sedan
Renault,Captur,2023,212286,25120,Diesel,Automatic,Very Good,Casablanca,Private,+212673723882,10,423,SUV
Dacia,Sandero,2018,68704,110882,Gasoline,Manual,Very Good,Fes,Private,+212694835156,123,559,Hatchback
Dacia,Duster,2020,114280,81273,Gasoline,Manual,Very Good,Fes,Private,+212649170518,96,479,SUV
Peugeot,2008,2021,173399,91780,Diesel,Automatic,Excellent,Tangier,Private,+212754171568,85,147,Hatchback
Peugeot,3008,2022,276455,62816,Diesel,Manual,Very Good,Fes,Dealer,+212611060236,98,130,Hatchback
Dacia,Logan,2021,108397,76410,Gasoline,Manual,Very Good,Tangier,Private,+212742014916,108,564,Hatchback
Nissan,Juke,2019,127431,129300,Gasoline,Automatic,Good,Casablanca,Dealer,+212752412483,163,288,Sedan
Dacia,Duster,2019,120785,68381,Gasoline,Manual,Excellent,Casablanca,Private,+212646697560,50,475,Van
Ford,Fiesta,2020,85987,112916,Gasoline,Automatic,Good,Casablanca,Private,+212657751265,120,609,Sedan
Ford,Fiesta,2019,71928,95961,Gasoline,Automatic,Good,Casablanca,Private,+212686472456,177,114,Hatchback
Dacia,Lodgy,2023,148809,35432,Diesel,Manual,Very Good,Meknes,Private,+212775365074,100,126,Sedan
Kia,Sorento,2022,318221,38240,Diesel,Manual,Good,Casablanca,Private,+212771433515,2,117,SUV
Ford,Fiesta,2020,103776,61408,Gasoline,Manual,Very Good,Kenitra,Private,+212660061670,178,234,Coupe
Ford,Focus,2019,106862,97757,Diesel,Manual,Very Good,Casablanca,Dealer,+212631588179,87,633,Hatchback
Peugeot,308,2023,200721,36810,Gasoline,Manual,Very Good,Kenitra,Private,+212632628365,11,729,Hatchback
Dacia,Logan,2024,156962,15935,Gasoline,Manual,Very Good,Casablanca,Private,+212650063891,36,627,Van
Peugeot,308,2022,166684,50071,Gasoline,Manual,Good,Tangier,Private,+212785733033,130,347,SUV
Dacia,Logan,2023,116179,36832,Gasoline,Automatic,Good,Marrakech,Private,+212767410907,89,308,Hatchback
Dacia,Duster,2018,72272,171175,Diesel,Automatic,Good,Rabat,Private,+212621698569,99,348,Sedan
Dacia,Duster,2021,119800,62483,Gasoline,Manual,Good,Casablanca,Dealer,+212722969395,99,187,SUV
Nissan,Juke,2019,130170,102501,Gasoline,Manual,Good,Oujda,Private,+212631223742,137,306,Coupe
Kia,Sorento,2021,249886,61122,Gasoline,Automatic,Fair,Rabat,Private,+212685228169,22,384,Sedan
Volkswagen,Polo,2023,175281,42875,Diesel,Manual,Excellent,Marrakech,Dealer,+212679106450,51,535,SUV
Citroen,C3,2023,142649,37070,Gasoline,Manual,Very Good,Rabat,Dealer,+212699284785,142,676,Pickup
Peugeot,308,2022,165250,53383,Gasoline,Manual,Good,Tangier,Private,+212711203887,111,72,Sedan
Dacia,Logan,2024,141941,16365,Gasoline,Automatic,Good,Tangier,Private,+212630106090,139,551,Hatchback
Volkswagen,Tiguan,2019,207421,117396,Gasoline,Manual,Very Good,Marrakech,Private,+212619526875,132,208,Hatchback
Volkswagen,Golf,2019,137899,76784,Diesel,Manual,Very Good,Marrakech,Dealer,+212775134368,172,409,Hatchback
Toyota,Yaris,2021,99578,93187,Gasoline,Manual,Very Good,Casablanca,Private,+212776624750,120,374,Sedan
Dacia,Logan,2024,150968,20653,Gasoline,Automatic,Very Good,Rabat,Dealer,+212638743492,61,133,SUV
Hyundai,Tucson,2024,357750,14782,Diesel,Manual,Very Good,Marrakech,Dealer,+212679741402,27,547,Sedan
Peugeot,2008,2020,128193,80553,Diesel,Manual,Good,Casablanca,Private,+212689338241,108,266,Sedan
Volkswagen,Golf,2019,124433,138197,Gasoline,Manual,Very Good,Casablanca,Private,+212622369191,153,109,Hatchback
Dacia,Lodgy,2023,144602,23994,Gasoline,Manual,Good,Meknes,Private,+212688579175,45,789,Van
Toyota,RAV4,2021,230360,88135,Gasoline,Manual,Good,Marrakech,Private,+212798344356,145,415,SUV
Ford,Ranger,2024,367105,19497,Diesel,Automatic,Good,Rabat,Dealer,+212711323634,155,130,Van
Dacia,Logan,2018,77877,123055,Gasoline,Manual,Excellent,Oujda,Private,+212686482270,6,591,Sedan
Renault,Talisman,2019,206695,79454,Gasoline,Manual,Very Good,Oujda,Private,+212633332284,134,102,SUV
Dacia,Sandero,2021,106380,70761,Gasoline,Manual,Very Good,Tangier,Dealer,+212738558401,17,517,Hatchback
Dacia,Lodgy,2018,90749,116338,Diesel,Automatic,Excellent,Oujda,Private,+212613699204,9,509,Sedan
Nissan,Qashqai,2023,302967,27557,Diesel,Manual,Very Good,Marrakech,Dealer,+212719617607,127,574,Pickup
Dacia,Logan,2024,165816,23536,Gasoline,Manual,Excellent,Oujda,Private,+212619747325,150,556,Sedan
Kia,Sportage,2021,247759,75775,Gasoline,Automatic,Very Good,Tangier,Private,+212621569698,20,151,SUV
Dacia,Sandero,2019,66174,80591,Gasoline,Manual,Good,Oujda,Private,+212798396459,40,183,SUV
Renault,Captur,2019,109976,113257,Gasoline,Manual,Good,Tangier,Private,+212791456073,157,117,SUV
Renault,Clio,2024,180469,15715,Diesel,Manual,Excellent,Rabat,Dealer,+212795040730,43,225,SUV
Dacia,Sandero,2019,73827,115451,Gasoline,Manual,Very Good,Marrakech,Private,+212793653623,152,400,Sedan
Ford,Mustang,2020,333987,70457,Gasoline,Automatic,Fair,Tangier,Private,+212725700515,40,383,Sedan
Renault,Megane,2021,145742,57915,Diesel,Manual,Good,Casablanca,Private,+212699685625,91,643,Hatchback
Dacia,Duster,2022,172553,66723,Diesel,Manual,Excellent,Tangier,Private,+212747538796,98,385,Pickup
Renault,Megane,2023,176166,34762,Diesel,Manual,Good,Rabat,Private,+212696703811,81,700,SUV
Toyota,Hilux,2021,291446,46307,Diesel,Automatic,Good,Casablanca,Dealer,+212652946369,35,348,Hatchback
Toyota,RAV4,2020,180932,95976,Hybrid,Manual,Fair,Agadir,Dealer,+212664578237,90,293,Sedan
Dacia,Logan,2018,71259,138417,Gasoline,Manual,Very Good,Casablanca,Private,+212696353851,8,527,Hatchback
Peugeot,2008,2018,81890,146454,Diesel,Manual,Fair,Fes,Private,+212751134928,135,430,SUV
Dacia,Sandero,2019,57119,88641,Gasoline,Manual,Fair,Marrakech,Private,+212785967782,156,590,Hatchback
Renault,Captur,2019,128997,107812,Gasoline,Manual,Excellent,Casablanca,Private,+212632246600,33,386,Pickup
Kia,Sportage,2020,164621,95040,Hybrid,Manual,Good,Casablanca,Private,+212625126687,85,79,SUV
Nissan,Qashqai,2018,164802,133113,Gasoline,Manual,Excellent,Fes,Private,+212665749129,63,280,Sedan
Peugeot,208,2024,168063,17907,Diesel,Manual,Good,Fes,Dealer,+212724041390,72,744,Sedan
Dacia,Duster,2020,114450,98648,Gasoline,Manual,Very Good,Casablanca,Private,+212763039108,94,369,Van
Peugeot,308,2018,122791,126931,Diesel,Manual,Excellent,Casablanca,Private,+212665281809,32,365,SUV
Toyota,Land Cruiser,2020,398817,109728,Diesel,Automatic,Fair,Marrakech,Private,+212719986639,174,187,Sedan
Dacia,Sandero,2022,110554,53324,Gasoline,Automatic,Very Good,Rabat,Private,+212742796309,57,279,SUV
Toyota,Corolla,2021,131680,84460,Hybrid,Manual,Good,Fes,Private,+212776723980,105,473,Hatchback
Citroen,C4,2020,130833,88540,Diesel,Manual,Very Good,Agadir,Dealer,+212622106853,21,527,Van
Dacia,Sandero,2021,85567,89419,Gasoline,Automatic,Good,Meknes,Private,+212771580530,2,404,Pickup
Dacia,Logan,2019,78391,64984,Gasoline,Manual,Good,Marrakech,Dealer,+212653968504,67,469,Sedan
Kia,Picanto,2019,65304,78145,Gasoline,Manual,Good,Fes,Private,+212794747503,180,352,SUV
Renault,Megane,2021,146530,76641,Gasoline,Manual,Good,Rabat,Dealer,+212720659011,109,110,SUV
Dacia,Duster,2019,100837,107929,Diesel,Manual,Very Good,Meknes,Private,+212618458579,157,495,SUV
Dacia,Logan,2019,71864,130722,Gasoline,Manual,Good,Casablanca,Private,+212625248640,60,234,Hatchback
Renault,Megane,2019,109587,110528,Gasoline,Manual,Very Good,Fes,Private,+212684240020,178,358,Hatchback
Peugeot,2008,2021,163783,78247,Gasoline,Manual,Good,Rabat,Dealer,+212798916922,62,434,Sedan
Peugeot,308,2023,234592,36467,Gasoline,Manual,Excellent,Casablanca,Dealer,+212657738897,156,312,SUV
Renault,Captur,2020,155947,88087,Diesel,Automatic,Excellent,Meknes,Private,+212773797245,10,337,Coupe
Volkswagen,Golf,2023,209467,36065,Diesel,Manual,Very Good,Casablanca,Dealer,+212682072280,97,117,SUV
Hyundai,Accent,2022,155427,54040,Gasoline,Automatic,Very Good,Rabat,Private,+212680612228,88,293,Hatchback
Renault,Megane,2021,173852,58770,Gasoline,Manual,Excellent,Casablanca,Private,+212741832348,95,119,Hatchback
Dacia,Sandero,2023,125538,33334,Gasoline,Manual,Very Good,Casablanca,Dealer,+212776141268,68,816,SUV
Toyota,Corolla,2018,96022,152462,Gasoline,Manual,Very Good,Rabat,Private,+212618106073,26,335,Pickup
Renault,Captur,2024,247175,14406,Diesel,Automatic,Very Good,Marrakech,Private,+212634638497,107,286,Sedan
Peugeot,2008,2020,153213,63262,Diesel,Manual,Very Good,Tangier,Dealer,+212718945858,128,56,SUV
Dacia,Duster,2022,143000,38619,Diesel,Manual,Good,Fes,Private,+212653835469,55,574,Pickup
Peugeot,2008,2019,142759,74666,Gasoline,Manual,Very Good,Marrakech,Private,+212628499645,166,84,Hatchback
Renault,Clio,2023,144732,38823,Diesel,Automatic,Very Good,Casablanca,Dealer,+212741480822,30,869,Sedan
Dacia,Logan,2021,92728,86439,Gasoline,Manual,Very Good,Tetouan,Private,+212684115294,150,297,Sedan
Renault,Captur,2022,187803,40352,Gasoline,Manual,Very Good,Tangier,Private,+212783580285,67,310,Pickup
Dacia,Duster,2020,96687,69315,Diesel,Manual,Fair,Agadir,Private,+212630157469,118,289,SUV
Toyota,Corolla,2021,186841,76181,Hybrid,Manual,Excellent,Casablanca,Private,+212767924980,149,336,Hatchback
Dacia,Logan,2018,63161,96188,Gasoline,Manual,Good,Marrakech,Dealer,+212731282571,96,201,SUV
Nissan,Qashqai,2020,196676,90362,Gasoline,Manual,Excellent,Fes,Private,+212671625390,87,88,Sedan
Renault,Captur,2024,238652,18402,Gasoline,Automatic,Very Good,Meknes,Private,+212756158963,43,610,Sedan
Ford,Mustang,2019,327905,110870,Gasoline,Automatic,Good,Marrakech,Private,+212725443418,165,383,SUV
Ford,Focus,2018,107265,133625,Diesel,Manual,Excellent,Fes,Private,+212780144910,92,581,Sedan
